,title,recipe_amount,recipe_link,recipe_image_link
0,Varškės sausainiai be pridėtinio cukraus,4 asm.,https://www.15min.lt/maistas/receptas/varskes-sausainiai-be-pridetinio-cukraus-8036,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjUwMzU0JmRhdGU9MjAxOSUyRjA0JTJGMzAsMjYzOTU3NjIwNA==/varskes-sausainiai-5cc847e1de7b9.jpg
1,Avienos kotletukai su pistacijomis ir gražgarstėmis,4 asm.,https://www.15min.lt/maistas/receptas/avienos-kotletukai-su-pistacijomis-ir-grazgarstemis-8034,https://s1.15min.lt/static/cache/MjIweDIwMCwxMTk5eDUzNyw2MTYxNjMsb3JpZ2luYWwsLGlkPTQ2NDgyNzImZGF0ZT0yMDE5JTJGMDQlMkYyOSw2MDAyODY1MjY=/kotletai-5cc74038ef474.jpg
2,"Sausainiai su virtais kiaušiniais, šokoladu ir kokosais",4 asm.,https://www.15min.lt/maistas/receptas/sausainiai-su-virtais-kiausiniais-sokoladu-ir-kokosais-8032,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjQ0MTA4JmRhdGU9MjAxOSUyRjA0JTJGMjcsMTIwMjg2NDA5MQ==/sausainiai-su-virtais-kiausiniais-sokoladu-ir-kokosais-5cc40a6498920.jpg
3,Veganiška smidrų tarta,4 asm.,https://www.15min.lt/maistas/receptas/veganiska-smidru-tarta-8030,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjQ2MDQyJmRhdGU9MjAxOSUyRjA0JTJGMjksMjE0NDcxMDQxMg==/augalingo-surio-tortas-su-vysniomis-ir-sokoladu-5cc6a151a52bd.jpg
4,Šokoladinis pyragas su avižiniais dribsniais,6 asm.,https://www.15min.lt/maistas/receptas/sokoladinis-pyragas-su-aviziniais-dribsniais-8028,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjM5NTY4JmRhdGU9MjAxOSUyRjA0JTJGMjUsNzk1ODQ0MjM0/liutauras-ceprackas-ir-sokoladinis-pyragas-5cc174c553e3b.jpg
5,Grietinėje kepti kiaušiniai,2 asm.,https://www.15min.lt/maistas/receptas/grietineje-kepti-kiausiniai-8026,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjQ2ODQ0JmRhdGU9MjAxOSUyRjA0JTJGMjksMjMwMzg0Njg5Mg==/grietineje-kepti-kiausiniai-5cc6c7c810362.jpg
6,Indiškas apelsinų šerbetas,4 asm.,https://www.15min.lt/maistas/receptas/indiskas-apelsinu-serbetas-8024,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjQ0MTAwJmRhdGU9MjAxOSUyRjA0JTJGMjcsMTY0ODM3NTQ2OQ==/indiskas-apelsinu-serbetas-5cc3ff3ee41a4.jpg
7,Šokoladiniai saldainiai su avietiniu įdaru be pridėtinio cukraus,3 asm.,https://www.15min.lt/maistas/receptas/sokoladiniai-saldainiai-su-avietiniu-idaru-be-pridetinio-cukraus-8022,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjQyMTc4JmRhdGU9MjAxOSUyRjA0JTJGMjYsMzg0NzMxNjMxNw==/sokoladiniai-saldainiai-su-avietiniu-idaru-5cc2bd9d92761.jpeg
8,Ant grotelių kepti jautienos šonkauliai su rūkyta paprika ir obuolių sultimis,6 asm.,https://www.15min.lt/maistas/receptas/ant-groteliu-kepti-jautienos-sonkauliai-su-rukyta-paprika-ir-obuoliu-sultimis-8020,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjQwMzA2JmRhdGU9MjAxOSUyRjA0JTJGMjUsNDI3NjI5NzcxMw==/kepti-jautienos-sonkauliai-5cc1a6b72f11f.jpg
9,Nekeptas karamelinis tortas su karamelizuotais riešutais,8 asm.,https://www.15min.lt/maistas/receptas/nekeptas-karamelinis-tortas-su-karamelizuotais-riesutais-8018,https://s1.15min.lt/static/cache/MjIweDIwMCw0Njl4MjU5LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDYyMjQyOCZkYXRlPTIwMTklMkYwNCUyRjE2LDE0NTIxOTY5MzY=/nekeptas-karamelinis-tortas-su-karamelizuotais-riesutais-5cb580240c02e.jpg
10,Veganiškas nekeptas riešutinis-bananinis tortas,8 asm.,https://www.15min.lt/maistas/receptas/veganiskas-nekeptas-riesutinis-bananinis-tortas-8016,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjQ4MzA2JmRhdGU9MjAxOSUyRjA0JTJGMjksNjI2NTUyNjc2/veganiskas-nekeptas-bananinis-riesutinis-tortas-5cc7438723ea1.jpg
11,Bananų duona be pridėtinio cukraus,6 asm.,https://www.15min.lt/maistas/receptas/bananu-duona-be-pridetinio-cukraus-8014,https://s1.15min.lt/static/cache/MjIweDIwMCwzNDR4MjI5LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDY0OTI3OCZkYXRlPTIwMTklMkYwNCUyRjMwLDMyNzcxNjI3NA==/bananu-duona-be-pridetinio-cukraus-5cc7f6bdb6190.jpg
12,Labai paprastas nekeptas bananų-meduolių desertas,4 asm.,https://www.15min.lt/maistas/receptas/labai-paprastas-nekeptas-bananu-meduoliu-desertas-8012,https://s1.15min.lt/static/cache/MjIweDIwMCw1Nzl4NTg4LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDY1MjM3NiZkYXRlPTIwMTklMkYwNSUyRjAyLDM4NzMzMTc2NA==/bananinis-desertas-5cca8edd23fdd.jpg
13,Kepta lašiša su žolelių ir citrinos padažu,4 asm.,https://www.15min.lt/maistas/receptas/kepta-lasisa-su-zoleliu-ir-citrinos-padazu-8010,https://s1.15min.lt/static/cache/MjIweDIwMCw4NTR4NTgyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDY1NTg3NCZkYXRlPTIwMTklMkYwNSUyRjAzLDM2ODE2MjkyNDE=/lasisos-kepsnys-su-padazu-5ccc2e97218bb.jpg
14,Minkštas rabarbarų pyragas su trupinių kepure,6 asm.,https://www.15min.lt/maistas/receptas/minkstas-rabarbaru-pyragas-su-trupiniu-kepure-8008,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjU2NDMwJmRhdGU9MjAxOSUyRjA1JTJGMDMsMTExNzg0NTkwOQ==/rabarbaru-pyragas-su-trupiniu-kepure-5ccc4728d7f1d.jpg
15,Airiška bulvių ir kopūstų košė „colcannon“,4 asm.,https://www.15min.lt/maistas/receptas/airiska-bulviu-ir-kopustu-kose-colcannon-8006,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjU3MTc2JmRhdGU9MjAxOSUyRjA1JTJGMDQsMTgxNzM2NzY5Ng==/airiska-bulviu-ir-kopustu-kose-colcannon-5ccd44d67ea91.jpg
16,"Greiti špinatų, bulvių ir varškės kotletukai",4 asm.,https://www.15min.lt/maistas/receptas/greiti-spinatu-bulviu-ir-varskes-kotletukai-8004,https://s1.15min.lt/static/cache/MjIweDIwMCw3ODJ4NDk2LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDY0NjcwNiZkYXRlPTIwMTklMkYwNCUyRjI5LDYxMDMwODA1NA==/kotletukai-su-spinatais-5cc6bd5122e1a.jpg
17,Įspūdingi žalieji keksiukai „Samanotas miškas“,6 asm.,https://www.15min.lt/maistas/receptas/ispudingi-zalieji-keksiukai-samanotas-miskas-8002,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjI0NDU4JmRhdGU9MjAxOSUyRjA0JTJGMTcsMzYyMTk2MDc2MQ==/keksiukai-samanotas-miskas-5cb6ca4ec24e3.jpg
18,Pikantiškos morkų salotos su feta ir mėtomis,4 asm.,https://www.15min.lt/maistas/receptas/pikantiskos-morku-salotos-su-feta-ir-metomis-8000,https://s1.15min.lt/static/cache/MjIweDIwMCw2NDB4NDgxLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDY1OTQ5MCZkYXRlPTIwMTklMkYwNSUyRjA2LDE4NzU1MTkwODQ=/morku-salotos-5ccfd83693673.jpg
19,"Gruziniški chačiapuriai, kuriems neįmanoma atsispirti",4 asm.,https://www.15min.lt/maistas/receptas/gruziniski-chaciapuriai-kuriems-neimanoma-atsispirti-7998,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjU5MzUwJmRhdGU9MjAxOSUyRjA1JTJGMDUsMTI4NTQ2MTMxOQ==/gruziniskas-skanestas-chaciapuri-5ccf3a8e789a2.jpg
20,"Dilgėlių, garšvų ir kiaulpienių pyragas",4 asm.,https://www.15min.lt/maistas/receptas/dilgeliu-garsvu-ir-kiaulpieniu-pyragas-7996,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NjIxMDAwJmRhdGU9MjAxOSUyRjA0JTJGMTUsMzIxOTY4MzY1Ng==/dilgeliu-garsvu-ir-kiaulpieniu-pyragas-5cb4624feb0ca.jpg
21,Vafliai su špinatais ir pomidorais,2 asm.,https://www.15min.lt/maistas/receptas/vafliai-su-spinatais-ir-pomidorais-7994,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NTc4NzM4JmRhdGU9MjAxOSUyRjAzJTJGMjcsNDA3MTg5MzI2Nw==/naminiai-vafliai-5c9b4aaaa6af5.jpg
22,Sveikuoliški avižų vafliai be glitimo,2 asm.,https://www.15min.lt/maistas/receptas/sveikuoliski-avizu-vafliai-be-glitimo-7992,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NTc4NzM2JmRhdGU9MjAxOSUyRjAzJTJGMjcsNTYxNzE4Njkx/naminiai-vafliai-5c9b4aaa039cd.jpg
